time,page_view,mp_os,mp_browser,utm_source,insurance_subscription,mp_event_name
2021-09-01 18:31:02,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Android,Android Mobile,,"{""lead_quote_status"": ""NoGo"", ""nogo_reason"": ""Tarification impossible () EXCLUSION""}",Insurance - Complete Insurance Long Quote
2021-09-01 18:31:02,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Android,Android Mobile,,"{""lead_quote_status"": ""NoGo"", ""nogo_reason"": ""Tarification impossible () EXCLUSION""}",Insurance - Complete Insurance Long Quote
2021-09-01 14:15:49,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,google,"{""broker_name"": null, ""category_quoted_tiers"": ""autre"", ""lead_quote_status"": ""Go"", ""long_quote_id"": -7167195210324802244}",Insurance - Complete Insurance Long Quote
2021-09-01 14:16:29,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,google,"{""broker_name"": null, ""long_quote_id"": -7167195210324802244, ""product_name"": ""autre"", ""product_type"": ""third_party"", ""warranties"": []}",Insurance - Customize Insurance Contract
2021-09-01 14:16:29,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,google,"{""broker_name"": null, ""long_quote_id"": -7167195210324802244, ""product_name"": ""autre"", ""product_type"": ""third_party"", ""warranties"": []}",Insurance - Customize Insurance Contract
2021-09-01 14:15:49,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,google,"{""broker_name"": null, ""category_quoted_tiers"": ""autre"", ""lead_quote_status"": ""Go"", ""long_quote_id"": -7167195210324802244}",Insurance - Complete Insurance Long Quote
2021-09-01 09:29:35,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Linux,Firefox,,"{""lead_id"": 6129313060207686193, ""lead_quote_status"": ""NoGo"", ""nogo_reason"": ""Tarification impossible () EXCLUSION""}",Insurance - Complete Insurance Long Quote
2021-09-01 09:29:35,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Linux,Firefox,,"{""lead_id"": 6129313060207686193, ""lead_quote_status"": ""NoGo"", ""nogo_reason"": ""Tarification impossible () EXCLUSION""}",Insurance - Complete Insurance Long Quote
2021-09-01 08:19:52,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,,"{""broker_name"": ""provider_A"", ""category_quoted_tiers"": ""jeune_conducteur"", ""lead_id"": -8257856275489915115, ""lead_quote_status"": ""Go"", ""long_quote_id"": -7498586406126945729}",Insurance - Complete Insurance Long Quote
2021-09-01 08:19:52,"{""page_collection"":""website"",""page_path"":""/assurance-auto""}",Windows,Firefox,,"{""broker_name"": ""provider_A"", ""category_quoted_tiers"": ""jeune_conducteur"", ""lead_id"": -8257856275489915115, ""lead_quote_status"": ""Go"", ""long_quote_id"": -7498586406126945729}",Insurance - Complete Insurance Long Quote
